workerID,datetime,location,operationlog,isFull
73250,2019/03/18 14:57:48,2A-2D-05,87381817,FALSE
79841,2019/03/18 14:57:50,2B-1C-01,87388355,FALSE
68309,2019/03/18 14:57:54,2C-3D-11,87386538,FALSE
79841,2019/03/18 14:58:17,2B-1C-02,87388355,FALSE
73250,2019/03/18 14:58:34,2A-3J-04,87381817,FALSE
104,2019/03/18 14:58:40,2A-3N-16,87393313,TRUE
79841,2019/03/18 14:58:46,2B-1E-06,87388355,FALSE
68309,2019/03/18 14:59:08,2C-2L-03,87386538,FALSE
79841,2019/03/18 14:59:10,2B-1E-09,87388355,FALSE
68309,2019/03/18 14:59:36,2C-2H-17,87386538,FALSE
73250,2019/03/18 14:59:56,2A-2H-00,87381817,TRUE

